method_id,material_id,material_group,formula,elements,n_elements,target_material,morphology,morphology_reported,route,route_reported,precursor,precursor_from_json,solvent,temperature_C,time_h,time_min,precursor_cost_AUD_per_g,cost_unit,cost_match_quality,cost_source_column,entry_id,protocol_number,protocol_source
method_d5fd4ad27fba91,mat_116477fbbb69be,Ag,Ag,Ag,1,Fe3O4–Ag hybrid submicrospheres,nanoparticle,Hybrid submicrospheres decorated with Ag nanoparticles,solvothermal,Two-step solvothermal synthesis and electrostatic assembly,AgNO3,Iron(III) chloride hexahydrate; Sodium acetate; Polyethylene glycol; Silver nitrate; Sodium citrate; Sodium borohydride; 3-Aminopropyltriethoxysilane,"Ethylene glycol, water, trichloromethane/ethanol mixture",200,8,,14.2993657074096,AUD/g product,entry+morphology+route,precursor_cost_AUD_per_g_product,10989,1,main_protocol
method_321a7efbb934d4,mat_29dad4072d3495,Ag,Ag,Ag,1,Seed-grown silver nanoparticles for a plasmonic DSSC monolayer,nanoparticle,Nanoparticles,seed-mediated growth,Seed-mediated aqueous growth,AgNO3,Silver nitrate; Trisodium citrate; Sodium borohydride; Sodium ascorbate,Water,Room temperature,3 h seed ageing; growth reaction time not stated,,14.2993657074096,AUD/g product,entry+morphology+route,precursor_cost_AUD_per_g_product,12652,1,main_protocol
method_6876d2eab102dc,mat_7849a91836b5ff,Ag,Ag,Ag,1,Shape-controlled Ag nanoparticles and Ag nanoplates,nanoparticle,Ag nanoparticle,polyol,Polyol synthesis and aqueous PVP-mediated synthesis,AgNO3,Silver nitrate; Poly(vinylpyrrolidone); Polyol,"1,2-propanediol",140 °C for nanoparticles; 60 °C for nanoplates,1 h for nanoparticles; 21 h for nanoplates,,14.2993657074096,AUD/g product,entry only,precursor_cost_AUD_per_g_product,18468,1,example_protocol
method_89bc8512a7b941,mat_7849a91836b5ff,Ag,Ag,Ag,1,Shape-controlled Ag nanoparticles and Ag nanoplates,nanoparticle,Ag nanoparticle,polyol,Polyol synthesis and aqueous PVP-mediated synthesis,AgNO3,Silver nitrate; Poly(vinylpyrrolidone); Polyol,"1,4-butanediol",140 °C for nanoparticles; 60 °C for nanoplates,1 h for nanoparticles; 21 h for nanoplates,,14.2993657074096,AUD/g product,entry only,precursor_cost_AUD_per_g_product,18468,2,example_protocol
method_85c94af71ac89b,mat_7849a91836b5ff,Ag,Ag,Ag,1,Shape-controlled Ag nanoparticles and Ag nanoplates,nanoparticle,Ag nanoparticle,polyol,Polyol synthesis and aqueous PVP-mediated synthesis,AgNO3,Silver nitrate; Poly(vinylpyrrolidone); Polyol,"1,5-pentanediol",140 °C for nanoparticles; 60 °C for nanoplates,1 h for nanoparticles; 21 h for nanoplates,,14.2993657074096,AUD/g product,entry only,precursor_cost_AUD_per_g_product,18468,3,example_protocol
method_31395d2ff2b779,mat_534badba603c3d,Ag,Ag,Ag,1,PVP-capped silver nanoparticles used as cores for AgNPs@MnO2,nanoparticle,Nanoparticles,polyol,Solvothermal polyol synthesis,AgNO3,Polyethylene glycol 600; Poly(vinylpyrrolidone); Silver nitrate,PEG-600; ethanol for purification and final dispersion,220,24,,14.2993657074096,AUD/g product,entry+morphology+route,precursor_cost_AUD_per_g_product,19643,1,main_protocol
method_95bd98dcb0c779,mat_5776c97c80c3f3,Ag,Ag,Ag,1,Closely packed silver nanoparticles grown directly on a silanized tapered optical fiber,nanoparticle,Closely packed nanoparticles,hydrothermal,Hydrothermal growth on functionalized substrate,AgNO3,Silver nitrate; Poly(vinylpyrrolidone); Trisodium citrate dihydrate; 3-Aminopropyltrimethoxysilane,Deionized water; methanol/water for silanization,180,6,,14.2993657074096,AUD/g product,entry+morphology+route+formula,precursor_cost_AUD_per_g_product,20508,1,example_protocol
method_2d8b773bffbf1d,mat_5776c97c80c3f3,Ag,Ag,Ag,1,Closely packed silver nanoparticles grown directly on a silanized tapered optical fiber,nanoparticle,Closely packed nanoparticles,hydrothermal,Hydrothermal growth on functionalized substrate,AgNO3,Silver nitrate; Poly(vinylpyrrolidone); Trisodium citrate dihydrate; 3-Aminopropyltrimethoxysilane,Deionized water; methanol/water for silanization,180,12,,14.2993657074096,AUD/g product,entry+morphology+route+formula,precursor_cost_AUD_per_g_product,20508,2,example_protocol
method_19ab07335fd0ce,mat_5776c97c80c3f3,Ag,Ag,Ag,1,Closely packed silver nanoparticles grown directly on a silanized tapered optical fiber,nanoparticle,Closely packed nanoparticles,hydrothermal,Hydrothermal growth on functionalized substrate,AgNO3,Silver nitrate; Poly(vinylpyrrolidone); Trisodium citrate dihydrate; 3-Aminopropyltrimethoxysilane,Deionized water; methanol/water for silanization,180,15,,14.2993657074096,AUD/g product,entry+morphology+route+formula,precursor_cost_AUD_per_g_product,20508,3,example_protocol
method_8f7b4d606bc1a9,mat_14c4253f5fe91c,Ag,Ag,Ag,1,PVP-coated silver nanoparticles for conductive ink,nanoparticle,Nanoparticles,chemical reduction,Aqueous chemical reduction,AgNO3,Poly(vinylpyrrolidone); Silver nitrate; Deionized water; Sodium borohydride,Deionized water; ethanol for washing; water/ethanol/glycerol/ethylene glycol for final ink dispersion,50,1,,14.2993657074096,AUD/g product,entry+morphology+route,precursor_cost_AUD_per_g_product,24503,1,main_protocol
method_9a449102b1925e,mat_23babe8d5a91b7,Ag,Ag,Ag,1,BSA-stabilized silver nanoparticles,nanoparticle,"Larger, more anisotropic nanoparticles",chemical reduction,One-step aqueous chemical reduction,AgNO3,"Silver nitrate; Bovine serum albumin; Sodium borohydride; Hydrazine hydrate; N,N-Dimethylformamide",Water,Room temperature,1 h premixing plus ~12 h after reducing-agent addition,,14.2993657074096,AUD/g product,entry+morphology+route,precursor_cost_AUD_per_g_product,25838,2,example_protocol
method_fa81b2699a4bd2,mat_23babe8d5a91b7,Ag,Ag,Ag,1,BSA-stabilized silver nanoparticles,nanoparticle,"Larger, more anisotropic nanoparticles",chemical reduction,One-step aqueous chemical reduction,AgNO3,"Silver nitrate; Bovine serum albumin; Sodium borohydride; Hydrazine hydrate; N,N-Dimethylformamide",Water,Room temperature,1 h premixing plus ~12 h after reducing-agent addition,,14.2993657074096,AUD/g product,entry+morphology+route,precursor_cost_AUD_per_g_product,25838,3,example_protocol
